,NetID,FlowID,runTimeLUDB(ns)
1743,17, 1,20868894960
1698,17, 167,20900005479
1359,13, 4,21079560463
718,10, 150,21133573291
503,8, 16,21177304331
1886,17, 201,21227937551
1738,17, 45,21235720051
1004,10, 429,21299495175
1921,17, 98,21383726739
1095,10, 116,21474799466
690,10, 277,21536119571
3591,28, 357,21576274124
1467,13, 45,21629359684
2041,18, 77,21668877644
2977,27, 436,21684597573
763,10, 254,21776259453
3739,28, 382,21847492560
4360,32, 93,21887466434
1370,13, 228,21911656741
2602,24, 309,21932136171
2913,27, 228,22018931098
2932,27, 235,22035902337
4203,32, 8,22127699453
2457,24, 242,22258863497
3782,29, 48,22307491309
1408,13, 62,22341986070
472,8, 71,22393934205
1779,17, 59,22420074923
1911,17, 274,22443082512
2745,24, 52,22526983477
3886,29, 30,22569128722
2619,24, 251,22647844675
2626,24, 300,22681995918
3444,28, 352,22710409799
770,10, 235,22734458325
1188,12, 12,22896899506
1831,17, 190,22956240331
3077,27, 105,23016386543
2469,24, 28,23100362038
198,3, 174,23252292502
3451,28, 438,23309049399
696,10, 322,23395461781
863,10, 83,23499753918
1693,17, 95,23621042823
2553,24, 391,23667358798
3283,27, 112,23787596707
4308,32, 13,23853412863
1901,17, 215,23905633078
3628,28, 398,23947544713
416,8, 201,23971848962
224,3, 217,24041268112
2576,24, 365,24063536986
3685,28, 22,24177686354
2613,24, 420,24216389044
765,10, 267,24254406762
1016,10, 333,24409378740
3598,28, 102,24479521979
979,10, 216,24626763408
405,8, 19,24763721986
2696,24, 395,24954475001
1725,17, 114,24999931081
